Respondent_ID,Age_Group,Network_Provider,Internet_Usage_Frequency,Voice_Calling_Frequency,SMS_Usage_Frequency,Poor_Network_Frequency,Response_To_Network_Problems,Provider_Switch_History,Main_Frustration,Satisfaction_Rating,Satisfaction_Reason,App_Affinity,Hesitation_Factors,Reward_Motivation,Comfort_With_Background_Info_Collection
1,18-25,Unspecified,Daily,Unspecified,Unspecified,Often,Airplane mode,Yes,Unreliable,3,Location dependent,Yes,Not seeing results,Yes,Yes
2,18-25,Unspecified,Daily,Unspecified,Unspecified,Daily,Wait,Yes,Unreliable,1,Poor network,Yes,Not seeing results,Yes,Yes
3,18-25,Unspecified,Daily,Unspecified,Unspecified,Daily,Wait,Yes,Unreliable,2,Poor network,Yes,Many Notifications,Yes,Yes
4,18-25,Unspecified,Daily,Unspecified,Unspecified,Often,Switch,Yes,Unreliable,3,Poor network,Yes,Privacy,Yes,Yes
5,18-25,Unspecified,Daily,Unspecified,Unspecified,Often,Airplane mode,Yes,Unreliable,3,Poor network,Yes,Privacy,Yes,Yes
6,18-25,Unspecified,Daily,Unspecified,Unspecified,Often,Airplane mode,Yes,Expensive,3,Poor network,Yes,Many Notifications,Yes,Yes
7,18-25,Unspecified,Daily,Unspecified,Unspecified,Daily,Switch,Yes,Unreliable,3,Poor network,No,Not seeing results,No,Yes
8,18-25,Orange,Daily,Unspecified,Unspecified,Often,Wait,Yes,Expensive,4,Faster,Yes,Privacy,Yes,Yes
9,18-25,Orange,Daily,Unspecified,Unspecified,Daily,Move,Yes,Unreliable,1,Poor network,Yes,,Yes,Yes
10,18-25,MTN,Daily,Unspecified,Unspecified,Often,Airplane mode,Yes,Expensive,2,Poor network,Yes,,Yes,Yes
11,18-25,MTN,Daily,Unspecified,Unspecified,Daily,Airplane mode,Yes,Slow,2,Poor network,Yes,Privacy,Yes,Yes
12,18-25,MTN,Daily,Unspecified,Unspecified,Daily,Switch,Yes,Slow,2,Poor network,Yes,Not seeing results,Yes,Yes
13,18-25,MTN,Daily,Unspecified,Unspecified,Daily,Airplane mode,No,Expensive,3,Acceptable,No,Not seeing results,Yes,No
14,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Often,Switch,Yes,Slow,3,Null,Yes,Privacy,Yes,Yes
15,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Switch,Yes,Expensive,1,Null,No,No interest,Yes,No
16,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,No,Expensive,1,Poor network,No,No interest,Yes,Yes
17,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,No,Expensive,2,Poor network,Yes,Not seeing results,Yes,Yes
18,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,Yes,Expensive,3,Faster,Yes,Not seeing results,Yes,Yes
19,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Switch,Yes,Slow,2,Poor network,Yes,Not seeing results,Yes,Yes
20,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Wait,Yes,Slow,2,Poor network,Yes,Nothing,Yes,Yes
21,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Rarely,Move,Yes,Expensive,4,Faster,No,Long forms,Yes,No
22,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Often,Airplane mode,Yes,Unreliable,2,Poor network,Yes,Not seeing results,Yes,No
23,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Often,Airplane mode,No,Slow,1,Poor network,Yes,Not seeing results,Yes,Yes
24,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Often,Airplane mode,Yes,Slow,1,Poor network,Yes,Not seeing results,Yes,Yes
25,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,Yes,Expensive,2,Poor network,Yes,Not seeing results,Yes,Yes
26,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,Yes,Expensive,2,Poor network,Yes,Not seeing results,Yes,Yes
27,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,Yes,Expensive,2,Poor network,No,Null,Yes,Yes
28,18-25,Unspecified,Unspecified,Unspecified,Unspecified,Daily,Airplane mode,Yes,Expensive,2,Poor network,No,Null,Yes,No
